DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
Mlynská;Mlynská;905 01;Senica 1;Senica 1;;Senica
Poľná;Poľná;905 01;Senica 1;Senica 1;;Senica
Potočná;Potočná;905 01;Senica 1;Senica 1;;Senica
Topoľová;Topoľová;927 01;Šaľa 1;Šaľa 1;;Šaľa
Ulica Sama Chalupku;Ulica Sama Chalupku;927 01;Šaľa 1;Šaľa 1;;Šaľa
Bežecká ulica;Bežecká ulica;917 08;Trnava 8;Trnava 8;;Trnava
Juh;Juh;093 01;Vranov nad Topľou 1;Vranov nad Topľou 1;;Vranov nad Topľou
Gorazdova;Gorazdova;953 01;Zlaté Moravce 1;Zlaté Moravce 1;;Zlaté Moravce
Rivnianska;Rivnianska;960 01;Zvolen 1;Zvolen 1;;Zvolen
Do toboliny;Do toboliny;010 03;Žilina 3;Žilina 3;;Žilina
Zaroháčovská;Zaroháčovská;010 14;Žilina 14;Žilina 14;;Žilina
Banská;Banská;976 32;Badín;Badín;;Badín
Borovicová;Borovicová;976 32;Badín;Badín;;Badín
Družstevná;Družstevná;976 32;Badín;Badín;;Badín
Hliny;Hliny;976 32;Badín;Badín;;Badín
Krčméryho;Krčméryho;976 32;Badín;Badín;;Badín
Kriedovnica;Kriedovnica;974 05;Banská Bystrica 5;Banská Bystrica 5;;Badín
L. Svobodu;L. Svobodu;976 32;Badín;Badín;;Badín
Laurínska;Laurínska;976 32;Badín;Badín;;Badín
Nová;Nová;976 32;Badín;Badín;;Badín
Osloboditeľov;Osloboditeľov;976 32;Badín;Badín;;Badín
Pod Hrádkom;Pod Hrádkom;976 32;Badín;Badín;;Badín
Pod vŕškom;Pod vŕškom;976 32;Badín;Badín;;Badín
Sládkovičova;Sládkovičova;976 32;Badín;Badín;;Badín
SNP;SNP;976 32;Badín;Badín;;Badín
Tajovského;Tajovského;976 32;Badín;Badín;;Badín
Záhradná;Záhradná;976 32;Badín;Badín;;Badín
5. apríla;5. apríla;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
9. mája;9. mája;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Alexandra Dubčeka;Alexandra Dubčeka;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Andreja Hlinku;Andreja Hlinku;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Andreja Kmeťa;A. Kmeťa;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Bernolákova;Bernolákova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Cibislavská;Cibislavská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Cintorínska;Cintorínska;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Clementisova;Clementisova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Cyrila a Metoda;Cyrila a Metoda;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Družstevná;Družstevná;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Duklianska;Duklianska;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Farská;Farská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Ferka Urbánka;Ferka Urbánka;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Gorazdova;Gorazdova;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Hečkova;Hečkova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Hollého;Hollého;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Hrežďovská;Hrežďovská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Husitská;Husitská;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Hviezdoslavova;Hviezdoslavova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Inovecká;Inovecká;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Ivana Krasku;Ivana Krasku;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
J. Bottu;J. Bottu;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
J. C. Hronského;J. C. Hronského;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
J. G. Tajovského;J. G. Tajovského;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
J. Gabora;J. Gabora;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
J. Kačku;J. Kačku;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
J. Matušku;J. Matušku;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Jahodová;Jahodová;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Janka Kráľa;Janka Kráľa;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Jerichov;Jerichov;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Jesenského;Jesenského;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
K cintorínu;K cintorínu;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
K mlynskému náhonu;K mlynskému náhonu;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
K nemocnici;K nemocnici;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
K priehrade;K priehrade;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
K štadiónu;K štadiónu;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
K Zornici;K Zornici;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Komenského;Komenského;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
kpt. Jaroša;kpt. Jaroša;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Kraskova;Kraskova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Ku splavu;Ku splavu;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Kukučínova;Kukučínova;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Lipová;Lipová;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Lúčna;Lúčna;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Ľudmily Podjavorinskej;Ľudmily Podjavorinskej;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
M. R. Štefánika;M. R. Štefánika;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Matice Slovenskej;Matice Slovenskej;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Matušku;Matušku;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Mila Urbana;Mila Urbana;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Mlynská;Mlynská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Mojmírova;Mojmírova;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Moyzesova;Moyzesova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Murgašova;Murgašova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Na Vrštek;Na vŕštek;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Nám. Ľ. Štúra;Nám. Ľ. Štúra;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Novomeského;Novomeského;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Ozorovská hlavná;Ozorovská hlavná;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Ozorovská nová;Ozorovská nová;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Palkovičova;Palkovičova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Partizánska;Partizánska;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Pažiť;Pažiť;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Potočná;Potočná;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Pribinova;Pribinova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Radlinského;Radlinského;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Radová;Radová;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Rastislavova;Rastislavova;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Rezáková;Rezáková;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Rokošská;Rokošská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Rumunská;Rumunská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Sasinkova;Sasinkova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Sládkovičova;Sládkovičova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Slatinská;Slatinská;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
SNP;SNP;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Strážovská;Strážovská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Stromová;Stromová;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Svätoplukova;Svätoplukova;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Školská;Školská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Tajovského;Tajovského;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Textilná;Textilná;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Topoľová;Topoľová;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Trenčianska cesta;Trenčianska cesta;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Tržnica;Tržnica;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Vajanského nábr.;Vajanského nábrežie;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Vodná nádrž;Vodná nádrž;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Vystrkov;Vystrkov;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Za kaštieľom;Za kaštieľom;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Za valy;Za valy;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Záfortňa;Záfortňa;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Žitná;Žitná;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Bánovce nad Ondavou;Bánovce nad Ondavou;072 04;Trhovište;Trhovište;okrem č. 241,248,249,273,275;Bánovce nad Ondavou
Bánovce nad Ondavou;Bánovce nad Ondavou;072 04;Trhovište;Trhovište;časť Piesky;Bánovce nad Ondavou
Bánovce nad Ondavou;Bánovce nad Ondavou;072 05;Bracovce;Bracovce;č. 241,248,249,273,275;Bánovce nad Ondavou
29.augusta;29.augusta;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
9.mája;9.mája;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Agátová;Agátová;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Achátová;Achátová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Akvamarínová;Akvamarínová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Alexandra Matušku;Alexandra Matušku;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Ametystová;Ametystová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Astrová;Astrová;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Azalková;Azalková;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Bagarova;Bagarova;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Bakossova;Bakossova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Banícka;Banícka;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Bazová;Bazová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Bellušova;Bellušova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Bernolákova;Bernolákova;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Beskydská;Beskydská;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Bočná;Bočná;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Borievková;Borievková;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Borová ulica;Borová ulica;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Borovicová;Borovicová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Boženy Němcovej;Boženy Němcovej;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Brestová ulica;Brestová ulica;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Brezová;Brezová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Bronzová;Bronzová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Bučinová;Bučinová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Buková;Buková;974 09;Banská Bystrica 9;Banská Bystrica 9;;Banská Bystrica
Cementárenská cesta;Cementárenská cesta;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Cesta k nemocnici;Cesta k nemocnici;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Cesta k Smrečine;Cesta k Smrečine;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Cesta na amfiteáter;Cesta na amfiteáter;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Cesta na štadión;Cesta na štadión;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Cintorínska;Cintorínska;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Cmárovo;Cmárovo;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Čerešňová;Čerešňová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Československej armády;Československej armády;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Dedinská;Dedinská;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Diamantová ulica;Diamantová ulica;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Dlhá ulica;Dlhá ulica;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Dobšinského;Dobšinského;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Dolná;Dolná;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Dolná Strieborná;Dolná Strieborná;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Drienková;Drienková;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Družby;Družby;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Družstevná;Družstevná;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Dubová;Dubová;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Dúhová;Dúhová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Ďumbierska;Ďumbierska;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
F. Švantnera;F. Švantnera;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Fatranská;Fatranská;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Figuša Bystrého;Figuša Bystrého;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Fraňa Kráľa;Fraňa Kráľa;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Garbanka;Garbanka;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Gaštanová;Gaštanová;974 09;Banská Bystrica 9;Banská Bystrica 9;;Banská Bystrica
Gerberová;Gerberová;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Gerlachovská;Gerlachovská;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Golianova;Golianova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Gorkého;Gorkého;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Harmanecká cesta;Harmanecká cesta;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Haškova;Haškova;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Havranské;Havranské;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Hečkova;Hečkova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Hlboká;Hlboká;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Horná;Horná;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Horná Strieborná;Horná Strieborná;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Horné záhrady;Horné záhrady;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Hronská;Hronská;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Hronské predmestie;Hronské predmestie;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Hrušková;Hrušková;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Hurbanova;Hurbanova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Hutná;Hutná;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Hviezdoslavova;Hviezdoslavova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Chabenecká;Chabenecká;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Iliašska cesta;Iliašska cesta;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Inovecká;Inovecká;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Internátna;Internátna;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
J. Cikkera;J. Cikkera;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jabloňová;Jabloňová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Jakuba Pribicera;Jakuba Pribicera;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Jakubská cesta;Jakubská cesta;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jána Bottu;Jána Bottu;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jána Chalupku;Jána Chalupku;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jána Móryho;Jána Móryho;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Janka Kráľa;Janka Kráľa;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jantárová ulica;Jantárová ulica;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Jarabinová;Jarabinová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Jarná;Jarná;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Jaseňová;Jaseňová;974 09;Banská Bystrica 9;Banská Bystrica 9;;Banská Bystrica
Jaspisová ulica;Jaspisová ulica;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Javornícka;Javornícka;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Javorová;Javorová;974 09;Banská Bystrica 9;Banská Bystrica 9;;Banská Bystrica
Jazmínová;Jazmínová;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Jedľová;Jedľová;974 09;Banská Bystrica 9;Banská Bystrica 9;;Banská Bystrica
Jegorovova;Jegorovova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jelšová;Jelšová;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
